POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,POLYMER_PSMILES,DRUG_SMILES
Alginate-immobilized biomass,Congo Red,3.0,100,371.26,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,4.0,100,343.15,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,5.0,100,281.43,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,6.0,100,233.34,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,7.0,100,121.45,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,8.0,100,87.12,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,9.0,100,66.23,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,10.0,100,30.20,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,2.0,25,156.51,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,2.0,50,377.56,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,2.0,60,411.15,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,2.0,80,465.32,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,2.0,120,483.36,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,2.0,150,402.37,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,2.0,180,282.21,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,2.0,200,135.38,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized,Congo Red,2.0,100,548.47,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized T. pubescens biomass,Congo Red,2.0,NaN,548.19,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
PPy salt,Cr(VI),3.2,NaN,21.87,24,,
g-CuO/PANI,Pb(II),2,25,96.30,https://doi.org/10.1038/s41598-024-81970-2,,[Pb+2]
g-CuO/PANI,Pb(II),2,50,145.16,https://doi.org/10.1038/s41598-024-81970-2,,[Pb+2]
g-CuO/PANI,Pb(II),2,75,200.05,https://doi.org/10.1038/s41598-024-81970-2,,[Pb+2]
g-CuO/PANI,Pb(II),2,100,250.33,https://doi.org/10.1038/s41598-024-81970-2,,[Pb+2]
g-CuO/PANI,Pb(II),2,125,295.74,https://doi.org/10.1038/s41598-024-81970-2,,[Pb+2]
CM-HNO3@Alginate,Methylene blue,12,20,23.122,This study,,
CM-HNO3@Alginate,Methylene blue,12,NaN,212.77,This study,,
AO-modified poly(AN-co-AA),p-nitrophenol,7,NaN,143.06,This study,,
SBA-15/PAni,Acid Blue 62,2,40,67.424,Akbartabar et al. 2017,,
Chitosan,Reactive Red 198,5,200,197.38,Carbaş et al. 2023,,
Zinc(II)-chitosan biosorbent,Phosphate,NaN,NaN,6.55,Yazdani et al. 2017,,
Lime-iron sludge-encapsulated calcium alginate beads,Phosphate,NaN,NaN,8.30,Chittoo and Sutherland 2019,,
Crosslinked Fe(III)-chitosan composites,Phosphate,NaN,NaN,15.84,Zhang et al. 2018,,
Crab carapace based chitosan-calcite adsorbent,Phosphate,NaN,NaN,24.85,This study,,
XG-g-PAm hydrogel,Acid red 8,NaN,NaN,1250,Present study,,
Guar gum grafted poly acrylamide hydrogel,Acid red 8,NaN,NaN,54,Batouti et al. 2022,,
Starch-g-poly (N,N-dimethyl acrylamide) hydrogel,Acid red 8,NaN,NaN,120,,
Cellulose nanocrystal hydrogel,Acid red 8,NaN,NaN,17,Abdelaziz et al. 2022,,
PVA,Congo red,1,NaN,14.31,10.24845/ijfac.v10.i2.117,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Thermosensitive chitosan hydrogels containing β-glycerophosphate (β-GP),Ag(I),NaN,10,31.52,"""Skwarczynska-Wojsa and Modrzejewska",,
Magnetic chitosan microparticle sorbents functionalized with pyrimidine derivatives,Ag(I),6,NaN,2.3,"""Hamza et al.",,
2-mercaptobenzimidazole grafted onto chitosan microparticles,Ag(I),NaN,NaN,3.04,"""Elwakeel et al.",,
chitosan resin modified with thiourea,Ag(I),4.0,NaN,3.77,"""Wang et al.",,
chemically modified chitosan resin exhibiting magnetic properties,Ag(I),NaN,NaN,2.1,"""Donia et al.",,
unmodified chitosan,Ag(I),6.70,12.91,11.4,10.37190/ppmp/215663,,
chitosan modified with epichlorohydrin (second trial) and 1-methylimidazole,Ag(I),6.70,12.91,30.9,10.37190/ppmp/215663,,
chitosan modified with epichlorohydrin (second trial) and 1-methylimidazole,Ag(I),NaN,NaN,78.0,10.37190/ppmp/215663,,
Nitrogen-rich cellulose gel,Rifampicin,7,NaN,117.02,Ngwabebhoh et al. (2025),,
Magnetic chitosan/Ag@ MWCN,Ciprofloxacin,9,NaN,31.26,Sistanizadeh Aghdam et al. (2025),,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
PVP/Chitosan/ZnFe2O4,Amoxicillin,7.4,NaN,384.6,Mangla et al. (2024),,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
PVA/HKUST,Cefixime,8,NaN,282.5,Mirzaei et al. (2025),,
Wood-based colloidal cellulose nanocrystals,Auramine O,NaN,2.5-30,20,152,,
Modified carbon aerogels,Nitrate,7,10-60,17.92,53,,
PET,Brilliant Green,NaN,NaN,3.53,Eldomiaty et al 2026,,
Polymer I,Co(II),4,1,0.767,Table 1,,
Polymer I,Co(II),4,3,1.774,Table 1,,
Polymer I,Co(II),4,5,2.753,Table 1,,
Polymer I,Co(II),4,10,4.342,Table 1,,
Polymer I,Co(II),4,15,4.831,Table 1,,
Polymer II,Co(II),4,1,0.659,Table 1,,
Polymer II,Co(II),4,3,1.642,Table 1,,
Polymer II,Co(II),4,5,2.716,Table 1,,
Polymer II,Co(II),4,10,4.312,Table 1,,
Polymer II,Co(II),4,15,5.369,Table 1,,
Polymer I,Co(II),4,NaN,5.899,Table 2,,
Polymer II,Co(II),4,NaN,7.651,Table 2,,
Arginine cross-linked chitosan-carboxymethyl cellulose beads (CS-ag-CM),Cd (II),6.5,300,168.5,Manzoor et al. (2019),,
Chitosan citrate microspheres (CSC),Cr (VI),5,100,172,Zhang et al. (2020b),,
5-HMF grafted chitosan (CS-HMF),Cd (II),5,100,125,Mone et al. (2020),,
Poly(N-vinyl imidazole) grafted chitosan,Hg (II),6,300,112.35,Labidi et al. (2019),,
raw chitosan,Cr (VI),4,NaN,23.38,Vakili et al. (2018),,
DEO crosslinked chitosan,Cr (VI),4,NaN,94.8,Vakili et al. (2018),,
Citrate-crosslinked chitosan,Cr (VI),NaN,NaN,106.15,Bagheri et al. (2015),,
5-HMF grafted chitosan (130% grafting),Cu (II),NaN,NaN,107,Mone et al. (2020),,
5-HMF grafted chitosan (130% grafting),Cd (II),NaN,NaN,105,Mone et al. (2020),,
PANI/CA,Chlorpyrifos,3,200,10.4,NaN,,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl
PANI/AC,Chlorpyrifos,3,200,17.2,NaN,,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl
PANI/CA,Chlorpyrifos,9,200,59.2,NaN,,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl
PANI/AC,Chlorpyrifos,9,200,78.5,NaN,,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl
Poly(MAA-co-AAm) hydrogel,Methylene Blue,8,NaN,21.92,Present study,,
Poly(MAA-co-AAm)/NCC (10 %wt Cloisite B) hydrogel,Methylene Blue,8,NaN,32.83,Present study,,
Poly(MAA-co-AAm) hydrogel,Methylene Blue,8,10,4.981,Present study,,
Poly(MAA-co-AAm)/NCC hydrogel,Methylene Blue,8,10,6.635,Present study,,
PANI@MCTS,Cr(VI),2,NaN,186.60,51,,
PEG-4000,Pb(II),7,30,13.717,Table 5,,[Pb+2]
PEG-4000,Cu(II),7,30,37.175,Table 5,,
PEG-4000,Pb(II),7,NaN,76.3,Table 6,,[Pb+2]
PEG-4000,Cu(II),7,NaN,45.0,Table 6,,
polyvinyl alcohol,Cu(II),NaN,0.2,1.44,Table 2,,
polyvinyl alcohol,Cd(II),NaN,0.2,0.93,Table 2,,[Cd+2]
MgFe2O4@Schiff base@chitosan composite,Pb(II),5.5,NaN,290.7,This work,,[Pb+2]
MgFe2O4@Schiff base@chitosan composite,Pb(II),5.5,150,228.1,This work,,[Pb+2]
Chitosan bead-like materials,methyl orange,5–6,NaN,14.29,53,,
Chitosan graft poly(acrylic acid)/graphite oxide/attapulgite,methyl orange,3,NaN,186.5,55,,
Chemically crosslinked chitosan microspheres,methyl orange,7,NaN,207,56,,
Guanidinium chitosan containing dicyclohexyl groups,methyl orange,3,NaN,274,57,,
Chitosan/b-cyclodextrin,methyl orange,5,NaN,392,58,,
Quaternized magnetic chitosan(QMCS),methyl orange,4,NaN,486.13,This work,,
Amine-GMA-g-PAN,Mo(VI),NaN,NaN,109.79,NaN,,
Amine-GMA-g-PAN,Mo(VI),NaN,50,22.09,Table 3,,
Amine-GMA-g-PAN,Mo(VI),3.5,70,53.02,Table 4,,
Amine-GMA-g-PAN,Mo(VI),3.2,68.75,50.75,Table 4,,
Amine-GMA-g-PAN,Mo(VI),NaN,30,32.59,Table 7,,
nonwoven polypropylene and polyethylene geotextile,Hg(II),5.5,NaN,154.6,Table 1,,
PPy–PANI nanoﬁbers,Cr(VI),2.0,NaN,227,33,,
PAN/PPy core/shell nanoﬁber mat,Cr(VI),2.0,NaN,62,116,,
PAA hydrogel beads,Pb(II),6.3,NaN,113.43,[20],,[Pb+2]
Alg-g-PMMA,Pb(II),4.0,NaN,526,[43],,[Pb+2]
n-butyl acrylate-grafted chitosan,Cr(VI),3.5,NaN,17.15,[47],,
Cellulose and Paper Sludge (Impregnated with FeCl3),Methyl Orange,8,50,20.53,Chaukura; Murimba; Gwenzi (2016),,
Chitosan (crab shells),Methylene blue,6.2,NaN,17.2,Priyanga et al. 2026,,
Chitosan (crab shells),Methylene blue,7.8,NaN,12.2,Priyanga et al. 2026,,
Chitosan (crab shells),Methylene blue,6.2,20,14.02,Priyanga et al. 2026,,
Chitosan (crab shells),Methylene blue,6.2,40,21.08,Priyanga et al. 2026,,
Chitosan (crab shells),Methylene blue,6.2,60,17.48,Priyanga et al. 2026,,
Chitosan (crab shells),Methylene blue,5.8,NaN,16.07,Priyanga et al. 2026,,
Chitosan (crab shells),Methylene blue,NaN,NaN,56.0,Priyanga et al. 2026,,
Chitosan (crab shells),Methylene blue,NaN,40,21.2,Priyanga et al. 2026,,
Chitosan (crab shells),Methylene blue,5.2,NaN,15.86,Priyanga et al. 2026,,
Chitosan (crab shells),Methylene blue,7.2,NaN,16.19,Priyanga et al. 2026,,
*   **Adsorbents/Polymers:** Chitosan,Graphene oxide,Titanium dioxide (from $\text{TiO}_2$),,,,,
Polyvinyl Fluoride Derived Porous Carbon,Bisphenol A,,,122.5,,,
*   **Polymers/Adsorbents:** Metakaolin,Clinoptilolite,Hydrotalcite,Chitosan,Halloysite,Polyvinyl Fluoride Derived Porous Carbon,,
Chitosan + 50% lignin,Cr(VI),2,20,18,,,
Chitosan + 50% lignin,Cr(VI),2,40,28,,,
Chitosan + 50% lignin,Cr(VI),2,60,35,,,
In2S3-chitosan,Victoria Blue,7,100,683.34,,,
Ppy/Fe3On,Cr(VI),2,25,202,,,
rubber waste-based polymeric adsorbent,Methylene Blue,7,15,119,,,
*   **Polymers/Adsorbents:** PSW-P-500 (acid-activated oil palm kernels),activated carbon from rosemary leaves,neem bark activated carbon.,,,,,
starch-halloysite nanotube composite,methylene blue,5.5,25,10,,,
starch-halloysite nanotube composite,methylene blue,5.5,50,12,,,
starch-halloysite nanotube composite,methylene blue,5.5,75,14,,,
*   **Polymers/Adsorbents:** $\text{Fe}_3\text{O}_4\text{@PtTarH}$,$\text{Fe}_3\text{O}_4\text{@Cd}$,$\text{Fe}_3\text{O}_4\text{@Al}$,$\text{Fe}_3\text{O}_4$,$\text{BP}$,$\text{IL-MNP-BCD-TDI}$,,
* **Polymers/Composites:** $\text{PNIPAm-co-LDH}_N$,$\text{PNIPAm-co-LDH}_H$,and $\text{P/S-2}$ (lines 435-438),,,,,
*   **Adsorbents (Polymers):** Cassia fistula pod,Shell activated carbon,Natural clay,Sugarcane bagasse,Black wattle bark,Cow dung,,
*   **Polymers (LDM sources):** Taro,Phylloca intima L,agave bagasse,Orange peel,foxtail millet,Sago Bark,,
The provided page does not contain the full chemical names for the polymers ($\text{TFCO}$,$\text{TFOH}$,$\text{TFPO}$) or the drug/pollutant ($\text{NOR}$); it only provides their abbreviations.,,,,,
chitosan,CHCl1,6.8,50,50,,,
*   **Polymers:** chitosan,5:1 REC/CS,3:1 REC/CS,,,,,
cellulose dinitrobenzoate,creatinine,7.0,100,1.471,,,
cellulose dinitrobenzoate,creatinine,5,100,1.8,,,
cellulose dinitrobenzoate,creatinine,6,100,1.6,,,
cellulose dinitrobenzoate,creatinine,8,100,1.35,,,
cellulose dinitrobenzoate,creatinine,9,100,1.4,,,
cellulose dinitrobenzoate,creatinine,10,100,1.6,,,
cellulose dinitrobenzoate,creatinine,11,100,1.8,,,
cellulose dinitrobenzoate,creatinine,7.0,225,3.88,,,
*   **Polymers:** SAA-1,SAA-2,SAA-3 (referred to as hydrogels),,,,,
Hydrogel (PAA/Starch/MBA 95:5),Methylene Blue,10.0,20,26.7,,,
*   **Polymer/Components:** Polyacrylic acid (PAA),Starch,N,N'-Methylenebisacrylamide (MBA),,,,
cross-linked polyimide,orange 10,3,500,599,,,
poly PI,AO-10,3,100,250,,,
poly PI,AO-10,3,200,450,,,
poly PI,AO-10,3,300,600,,,
poly PI,AO-10,3,400,750,,,
Cross-linked porous di-poly (amide),Acid orange 10,3,500,599,,,
Cross-linked quaternary chitosan,Reactive orange 16,4,2000,1060,,,
*   **Polymers/Adsorbents:** Cross-linked porous di-poly (amide),Cross-linked quaternary chitosan,Modified magnetic silica,,,,,
PVA/CMC/GEL/ZSM-5,Rhodamine B,10,20,14.0,,,
PVA/CMC/GEL/ZSM-5,Rhodamine B,10,30,12.0,,,
PVA/CMC/GEL/ZSM-5,Rhodamine B,10,40,15.0,,,
PVA/CMC/GEL/ZSM-5,Rhodamine B,10,50,8.0,,,
PVA/CMC/GEL/ZSM-5,Rhodamine B,2,10,1.5,,,
PVA/CMC/GEL/ZSM-5,Rhodamine B,4,10,2.0,,,
PVA/CMC/GEL/ZSM-5,Rhodamine B,6,10,2.8,,,
PVA/CMC/GEL/ZSM-5,Rhodamine B,8,10,3.5,,,
*   **Polymer/Membrane Components:** Poly(vinyl alcohol) (PVA),Carboxymethyl cellulose (CMC),Gelatin (GEL),and Zeolite Socony Mobil-5 (ZSM-5).,,,,
PVA/CMC/GEL/ZSM-5,Rh B,10,10,4.85,,,
Cellulose,Congo Red,11,50,72.993,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
*   **Polymers/Adsorbents:** Alginate beads,Al-TOCNF-PEI beads,Al-TOCNF-CR beads.,,,,,
SDS-modified chitosan,Cr(III),4,1,0.1,,,
SDS-chitosan,Cr(III),5,1,1.1,,,
SDS-chitosan,Cr(III),6,1,1.25,,,
SDS-chitosan,Cr(III),7,1,1.7,,,
SDS-chitosan,Cr(III),4,1.0,0.75,,,
polyacrylic resin,Cr(VI),2,1,142.86,,,
polyacrylic resin,Cr(VI),2,5,15,,,
polyacrylic resin,Cr(VI),2,10,60,,,
polyacrylic resin,Cr(VI),2,20,110,,,
polyacrylic resin,Cr(VI),2,30,120,,,
polyacrylic and resin,Cr(VI),2,50,130,,,
β-chitosan-dextrin conjugate magnetic,Methylene blue,13.0,40,196.2,,,
Durian Seed Ca-alginate,Hg(II),3,10,0.6,,,
Durian Seed Ca-alginate,Hg(II),4,10,0.9,,,
Durian Seed Ca-alginate,Hg(II),5,10,1.3,,,
Durian Seed Ca-alginate,Hg(II),6,10,1.3,,,
Durian Seed Ca-alginate,Hg(II),7,10,1.2,,,
durian seeds immobilized Ca-alginate bead,Hg(II),6,300,74.12,,,
The provided page image does not contain the full chemical names for the polymers (SSS,SSS-KOHAC,$SSS-H_2PO_4$) or the pollutant (MB).,,,,,
*   **Polymers:** SSS-H3PO4,SSS-KOHAC,RSSS,,,,,
immobilized chitosan,Naphtol Blue (NBB),6.0,30,45.45,,,
f-cellulose,diclofenac,5.5,10,18,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
f-cellulose,diclofenac,5.5,20,25,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
f-cellulose,diclofenac,5.5,30,30,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
f-cellulose,diclofenac,5.5,40,34,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
f-cellulose,diclofenac,5.5,50,37,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
f-cellulose,diclofenac,5.5,70,39,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
f-cellulose,diclofenac,5.5,80,40,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
f-cellulose,diclofenac,5.5,90,40,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
f-cellulose,diclofenac,5.5,100,40,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
CS-PEG-DA hydrogel,Diclofenac sodium,3.0,10,44.2,,,
CS-PEG-DA hydrogel,Diclofenac sodium,4.0,10,48.1,,,
CS-PEG-DA hydrogel,Diclofenac sodium,5.0,10,43.8,,,
CS-PEG-DA hydrogel,Diclofenac sodium,6.0,10,42.9,,,
CS-PEG-DA hydrogel,Diclofenac sodium,7.0,10,43.6,,,
cellulose-based sponge (CS),Ibuprofen,4.0,20,15.4,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
The full chemical names for the polymers ($\beta$-CDzNF,$\beta$-CDCMC,$\beta$-CDMZO) and the drugs/pollutants (CV,BF) are not provided in the provided image. Only the abbreviations are present.,,,,
The provided image does not contain the full chemical names for the polymers or the drugs; it only uses the abbreviations **$\beta\text{-CDZnF}$**,**$\beta\text{-CDCMC}$**,**$\beta\text{-CDMCZO}$**,**BF**,and **CV**.,,,
cryogel,As(V),7,100,22.11,,,
polyacrylamide hydroxide cryogel,As(V),7,100,22,,,
* **Polymers/Adsorbents:** Anchote peel,Pomoelo peel,Eggshell,Corn leaf,Chitosan,Halloysite,,
sponge-like polymers,Carbamazepine,7.0,10,1.70,,,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
sponge-like polymers,Diclofenac,7.0,10,1.30,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
sponge-like polymers,Ibuprofen,7.0,10,0.90,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
sponge-like polymers,Naproxen,7.0,10,1.30,,,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
sponge-like polymers,Sulfamethoxazole,7.0,10,1.40,,,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
*   **Polymer/Material:** Fe-C-N composites (Iron,Carbon,Nitrogen),,,,,
*   **Polymers/Adsorbents:** FCN-0,FCN-400,FCN-500,FCN-600 (referred to as composites/adsorbents in the text),,,,
*   **Adsorbents (Polymers/Compounds):** *Moringa oleifera* leaves biomass,*Euclara schimperi* leaves,*Acacia albida* barks,Neem leaves,Orange peel,Neem sawdust,,
* **Polymers (Adsorbents):** *Musas paradisiaca L. leaf*,*Syzgium aromaticum*,*Salvia salvia*,*Grape stalks*,*Walnut shells*,*Bamboo stalks*,,
PVA/Chitosan,Carbamazepine,7.0,10,3.3,,,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
PVA/Chitosan,Diclofenac,7.0,10,1.6,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
PVA/Chitosan,Ibuprofen,7.0,10,1.1,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
PVA/Chitosan,Naproxen,7.0,10,0.9,,,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
PVA/Chitosan,Sulfamethoxazole,7.0,10,0.4,,,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
PVA/Chitosan,Trimethoprim,7.0,10,0.2,,,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
*   **Polymer/Material (as identified by labels):** Glu-550Z0.5-1st,UrGlu-550Z0.5-1st,Glu-550Z0.5-2nd,UrGlu-550Z0.5-2nd,Glu-550Z0.5-3rd,UrGlu-550Z0.5-3rd,,
*   **Polymers:** The full chemical names for the polymers are not provided in the provided text; only their abbreviated codes (UrGlu450Z0.6-2nd,UrGlu450M0.6-2nd,and UrGlu450N0.6-2nd) are present.,,,,,
Fe/Cu CNS-embedded cellulose-chitosan beads,norfloxacin,6.0,20,355,,,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
*   **Polymers (Adsorbents):** MagFe/SA,CA/TS-M,CG/IbZn,HAP@CT,Nat-HAP,GOMBr,,
- **Row 4**: Cellulose,$Cu^{2+}$,pH 5,$C_0$ 100 mg/L,Capacity 298.62 mg/g,,,
- **Polymers/Materials/Modifiers**: NFC,brushite,Loofah,Cellulose,KH 792,DTPA,,
* **Polymers/Adsorbents:** PAMAM,PLA/PBAT-MEFB,HPEI (Note: The full chemical names for these abbreviations are not explicitly provided in the text of the provided image).,,,,,
*   **Polymers:** The specific chemical names for the polymers (SP-1,SP-2,SP-3,SP-5) are not provided on this page.,,,,
The provided image does not contain the full chemical names for the polymers (Al-PCB,Fe-PCB,Sn-PCB) or the drugs/pollutants (CY,MG); it only contains their abbreviations.,,,,
Poly(HEMA-GMA)-PLL-Cu(II) cryogel,Acid Blue 113,4.0,2000,501.6,,,
*   **Polymers (Adsorbents):** CGW400,CGW600,CGW900 (Note: The full chemical names for these adsorbents are not provided in the provided text snippet).,,,,,
*   **Polymers (Adsorbents):** Moringa peregrina tree shell,Pistachio shell,Rice husk,Rubber seed (RSSC),CAC (activated carbon),Aspergillus niger,,
Chitosan-based magnetic adsorbent,Tetracycline,7.0,25,103.67,,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Nanocrystalline cellulose,Tetracycline,5.0,25,15.87,,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
*   **Polymers/Adsorbents:** Methylcellulose,Chitosan,Cellulose,Nanocrystalline cellulose,Biochar (from fiberboard biomass),,,
The full chemical names for the polymers (**K**,**UL**,and **KUL**) and the pollutant (**CR**) are not explicitly provided on this page; only their abbreviations are used.,,,,,
PMMA/RHA/PP,tartrazine,2.83,2.0,165.7,,,
Chitosan,tartrazine,3.28,700,1065.5,,,
*   **Adsorbents/Polymers:** PMMA/RHA/PP,Chitosan,CS-CTAB-AL,MWC,Moringa oleifera,KFCNCs,,
KG-cl-poly(AA-co-NVI) hydrogel,tartrazine,3.0,30,201.5,,,
RCTW gelatin beads,tartrazine,2.5,200,263.13,,,
